date,open,high,low,close,volume
2023-11-17 00:00:00+00:00,356.4,356.4,356.4,356.4,0
2023-11-20 00:00:00+00:00,358.65,358.65,358.65,358.65,0
2023-11-21 00:00:00+00:00,349.0,349.0,349.0,349.0,0
2023-11-22 00:00:00+00:00,362.275,362.275,362.275,362.275,0
2023-11-23 00:00:00+00:00,358.075,358.075,358.075,358.075,0
2023-11-24 00:00:00+00:00,355.95,355.95,355.95,355.95,0
2023-11-27 00:00:00+00:00,361.6,361.6,361.6,361.6,0
2023-11-28 00:00:00+00:00,357.45,357.45,355.75,355.75,3
2023-11-29 00:00:00+00:00,353.9,353.9,353.9,353.9,0
2023-11-30 00:00:00+00:00,352.55,352.55,352.55,352.55,0
2023-12-01 00:00:00+00:00,356.3,356.3,355.125,355.125,1
2023-12-04 00:00:00+00:00,350.125,350.125,350.125,350.125,0
2023-12-05 00:00:00+00:00,356.55,356.55,356.55,356.55,0
2023-12-06 00:00:00+00:00,354.4,354.4,354.4,354.4,0
2023-12-07 00:00:00+00:00,358.55,358.55,358.55,358.55,1
2023-12-08 00:00:00+00:00,359.125,359.125,359.125,359.125,0
2023-12-11 00:00:00+00:00,354.05,354.05,354.05,354.05,0
2023-12-12 00:00:00+00:00,357.525,357.525,357.525,357.525,0
2023-12-13 00:00:00+00:00,362.125,362.125,362.125,362.125,0
2023-12-14 00:00:00+00:00,362.8,364.75,356.3,356.3,1780
2023-12-15 00:00:00+00:00,360.5,360.5,360.5,360.5,0
2023-12-18 00:00:00+00:00,361.6,370.95,361.4,370.95,2
2023-12-19 00:00:00+00:00,369.575,369.575,369.575,369.575,0
2023-12-20 00:00:00+00:00,374.5,374.5,374.5,374.5,0
2023-12-21 00:00:00+00:00,371.8,371.8,370.3,370.3,30
2023-12-22 00:00:00+00:00,370.175,370.175,370.175,370.175,0
2023-12-27 00:00:00+00:00,371.8,371.8,368.175,368.175,30
2023-12-28 00:00:00+00:00,369.475,369.475,369.475,369.475,0
2023-12-29 00:00:00+00:00,360.25,369.275,360.25,369.275,1
2024-01-02 00:00:00+00:00,364.55,364.55,364.55,364.55,0
2024-01-03 00:00:00+00:00,362.75,364.05,362.7,364.05,6
2024-01-04 00:00:00+00:00,360.0,360.0,354.725,354.725,7
2024-01-05 00:00:00+00:00,351.025,351.025,351.025,351.025,0
2024-01-08 00:00:00+00:00,354.6,354.6,354.6,354.6,6
2024-01-09 00:00:00+00:00,364.0,364.0,364.0,364.0,0
2024-01-10 00:00:00+00:00,369.275,369.275,369.275,369.275,0
2024-01-11 00:00:00+00:00,374.95,377.3,372.95,372.95,65
2024-01-12 00:00:00+00:00,372.95,372.95,372.95,372.95,100
2024-01-15 00:00:00+00:00,373.65,373.65,371.85,371.85,3
2024-01-16 00:00:00+00:00,375.9,375.9,370.85,370.85,9
2024-01-17 00:00:00+00:00,367.35,367.35,367.35,367.35,0
2024-01-18 00:00:00+00:00,371.075,371.075,371.075,371.075,0
2024-01-19 00:00:00+00:00,372.95,374.75,372.1,372.1,15
2024-01-22 00:00:00+00:00,373.85,373.85,373.85,373.85,0
2024-01-23 00:00:00+00:00,374.925,374.925,374.925,374.925,0
2024-01-24 00:00:00+00:00,380.25,380.95,378.35,379.05,742
2024-01-25 00:00:00+00:00,381.7,384.7,381.7,382.15,131
2024-01-26 00:00:00+00:00,383.9,384.3,383.9,384.3,1040
2024-01-29 00:00:00+00:00,384.0,385.05,383.95,385.05,911
2024-01-30 00:00:00+00:00,388.875,388.875,388.875,388.875,0
2024-01-31 00:00:00+00:00,378.2,378.2,377.225,377.225,67
2024-02-01 00:00:00+00:00,377.35,379.15,377.35,379.15,65
2024-02-02 00:00:00+00:00,406.3,414.775,406.3,414.775,680
2024-02-05 00:00:00+00:00,404.35,413.2,404.35,412.55,160
2024-02-06 00:00:00+00:00,436.4,436.4,411.05,411.05,1
2024-02-07 00:00:00+00:00,413.275,413.275,413.275,413.275,0
2024-02-08 00:00:00+00:00,415.45,415.45,415.45,415.45,0
2024-02-09 00:00:00+00:00,411.1,419.375,411.1,419.375,80
2024-02-12 00:00:00+00:00,422.65,424.4,421.2,421.2,51
2024-02-13 00:00:00+00:00,413.4,416.5,413.4,413.825,32
2024-02-14 00:00:00+00:00,414.175,414.175,414.175,414.175,0
2024-02-15 00:00:00+00:00,418.55,418.55,410.45,410.45,100
2024-02-16 00:00:00+00:00,414.225,414.225,414.225,414.225,0
2024-02-19 00:00:00+00:00,412.275,412.275,412.275,412.275,0
2024-02-20 00:00:00+00:00,408.55,408.55,405.275,405.275,5
2024-02-21 00:00:00+00:00,409.275,409.275,409.275,409.275,0
2024-02-22 00:00:00+00:00,418.225,418.225,418.225,418.225,0
2024-02-23 00:00:00+00:00,421.675,421.675,421.675,421.675,0
2024-02-26 00:00:00+00:00,425.8,425.8,423.475,423.475,117
2024-02-27 00:00:00+00:00,422.45,422.45,421.35,421.35,4
2024-02-28 00:00:00+00:00,421.0,421.0,420.95,420.95,1
2024-02-29 00:00:00+00:00,423.9,423.9,423.9,423.9,0
2024-03-01 00:00:00+00:00,428.3,431.75,428.3,431.75,53
2024-03-04 00:00:00+00:00,442.55,442.55,432.625,432.625,226
2024-03-05 00:00:00+00:00,440.75,440.75,421.4,421.4,803
2024-03-06 00:00:00+00:00,424.0,424.0,420.975,420.975,2
2024-03-07 00:00:00+00:00,414.4,421.9,414.4,421.9,801
2024-03-08 00:00:00+00:00,422.925,422.925,422.925,422.925,0
2024-03-11 00:00:00+00:00,438.85,438.85,412.825,412.825,22
2024-03-12 00:00:00+00:00,421.475,421.475,421.475,421.475,0
2024-03-13 00:00:00+00:00,423.95,423.95,423.95,423.95,0
2024-03-14 00:00:00+00:00,431.3,431.35,427.675,427.675,632
2024-03-15 00:00:00+00:00,421.65,421.65,419.5,419.5,233
2024-03-18 00:00:00+00:00,420.9,421.75,420.9,421.75,199
2024-03-19 00:00:00+00:00,418.9,423.5,418.5,423.5,164
2024-03-20 00:00:00+00:00,421.95,421.95,421.95,421.95,0
2024-03-21 00:00:00+00:00,429.45,435.825,428.75,435.825,248
2024-03-22 00:00:00+00:00,433.9,436.1,432.35,435.475,55
2024-03-25 00:00:00+00:00,439.0,439.4,435.325,435.325,2
2024-03-26 00:00:00+00:00,435.9,436.9,435.9,436.425,100
2024-03-27 00:00:00+00:00,434.25,434.25,434.25,434.25,0
2024-03-28 00:00:00+00:00,445.15,445.15,436.75,436.75,44
2024-04-02 00:00:00+00:00,440.1,440.1,438.475,438.475,10
2024-04-03 00:00:00+00:00,443.95,443.95,443.95,443.95,0
2024-04-04 00:00:00+00:00,442.65,446.6,442.65,446.6,99
2024-04-05 00:00:00+00:00,449.6,449.6,449.6,449.6,0
2024-04-08 00:00:00+00:00,438.35,455.1,438.35,452.325,121
2024-04-09 00:00:00+00:00,448.0,448.0,447.925,447.925,5
2024-04-10 00:00:00+00:00,452.8,452.8,452.8,452.8,0
2024-04-11 00:00:00+00:00,464.15,464.15,457.45,457.45,1201
2024-04-12 00:00:00+00:00,464.85,464.95,453.2,461.925,2016
2024-04-15 00:00:00+00:00,482.45,482.45,460.25,460.25,265
2024-04-16 00:00:00+00:00,450.1,454.375,449.65,454.375,25
2024-04-17 00:00:00+00:00,449.525,449.525,449.525,449.525,0
2024-04-18 00:00:00+00:00,448.1,448.1,448.1,448.1,0
2024-04-19 00:00:00+00:00,436.05,436.05,436.05,436.05,0
2024-04-22 00:00:00+00:00,436.5,436.5,435.675,435.675,2
2024-04-23 00:00:00+00:00,442.0,443.05,437.15,439.525,39
2024-04-24 00:00:00+00:00,446.1,446.1,437.45,437.45,4
2024-04-25 00:00:00+00:00,422.2,422.3,419.3,420.725,8
2024-04-26 00:00:00+00:00,439.65,440.725,433.2,440.725,27
2024-04-29 00:00:00+00:00,445.35,445.7,439.975,439.975,506
2024-04-30 00:00:00+00:00,432.2,444.7,432.2,439.975,480
2024-05-01 00:00:00+00:00,437.15,437.15,437.15,437.15,0
2024-05-02 00:00:00+00:00,448.1,448.1,445.475,445.475,811
2024-05-03 00:00:00+00:00,454.075,454.075,454.075,454.075,0
2024-05-07 00:00:00+00:00,442.7,462.475,442.7,462.475,771
2024-05-08 00:00:00+00:00,461.0,461.0,461.0,461.0,0
2024-05-09 00:00:00+00:00,466.975,466.975,466.975,466.975,0
2024-05-10 00:00:00+00:00,455.3,466.15,455.3,460.25,3150
2024-05-13 00:00:00+00:00,454.025,454.025,454.025,454.025,0
2024-05-14 00:00:00+00:00,452.925,452.925,452.925,452.925,0
2024-05-15 00:00:00+00:00,450.775,450.775,450.775,450.775,0
2024-05-16 00:00:00+00:00,450.55,450.55,450.55,450.55,0
2024-05-17 00:00:00+00:00,446.15,446.15,446.15,446.15,0
2024-05-20 00:00:00+00:00,448.1,448.1,446.6,446.6,4
2024-05-21 00:00:00+00:00,437.975,437.975,437.975,437.975,0
2024-05-22 00:00:00+00:00,445.0,445.0,445.0,445.0,0
2024-05-23 00:00:00+00:00,443.2,443.2,443.2,443.2,0
2024-05-24 00:00:00+00:00,438.0,438.0,438.0,438.0,0
2024-05-28 00:00:00+00:00,432.65,434.925,432.65,434.925,20
2024-05-29 00:00:00+00:00,436.45,442.85,436.45,442.85,160
2024-05-30 00:00:00+00:00,433.95,433.95,433.95,433.95,0
2024-05-31 00:00:00+00:00,421.15,421.15,421.15,421.15,160
2024-06-03 00:00:00+00:00,431.7,431.7,425.2,426.2,317
2024-06-04 00:00:00+00:00,427.35,427.35,427.35,427.35,0
2024-06-05 00:00:00+00:00,416.65,434.0,416.65,434.0,124
2024-06-06 00:00:00+00:00,440.75,440.75,440.75,440.75,0
2024-06-07 00:00:00+00:00,447.45,447.45,447.45,447.45,0
2024-06-10 00:00:00+00:00,449.025,449.025,449.025,449.025,0
2024-06-11 00:00:00+00:00,448.275,448.275,448.275,448.275,0
2024-06-12 00:00:00+00:00,449.9,449.9,448.15,448.975,22
2024-06-13 00:00:00+00:00,447.6,447.6,442.725,442.725,2
2024-06-14 00:00:00+00:00,443.05,443.05,441.95,441.95,129
2024-06-17 00:00:00+00:00,445.5,445.5,439.5,439.5,2
